選手番号,個人情報url,選手名,選手名読み,所属球団,背番号,ポジション,出身地,生年月日,身長,体重,血液型,投打,ドラフト年,ドラフト順位,経歴,出身高校,所属チーム,birthday,主な獲得タイトル
700069,https://baseball.yahoo.co.jp/npb/player/700069/top,田中 将大,タナカ マサヒロ,読売ジャイアンツ,11,投手,兵庫,1988年11月1日,188cm,97kg,A,右投げ右打ち,2006年,（高）1巡目,駒大苫小牧高（甲）－楽天－ヤンキース－楽天－巨人,駒大苫小牧高,巨人,1988-11-1,（率）11、13（防）11、13（勝）11、13（振）12（新）07（優）13（ベ）11、13（沢）11、13（ゴ）11～13
2103697,https://baseball.yahoo.co.jp/npb/player/2103697/top,大勢,タイセイ,読売ジャイアンツ,15,投手,兵庫,1999年6月29日,183cm,90kg,O,右投げ右打ち,2021年,1位,西脇工高－関西国際大－巨人,西脇工高,巨人,1999-6-29,（新）22
1850035,https://baseball.yahoo.co.jp/npb/player/1850035/top,西舘 勇陽,ニシダテ ユウヒ,読売ジャイアンツ,17,投手,岩手,2002年3月11日,185cm,79kg,A,右投げ右打ち,2023年,1位,花巻東高（甲）－中央大－巨人,花巻東高,巨人,2002-3-11,
2000006,https://baseball.yahoo.co.jp/npb/player/2000006/top,山﨑 伊織,ヤマサキ イオリ,読売ジャイアンツ,19,投手,兵庫,1998年10月10日,181cm,81kg,B,右投げ左打ち,2020年,2位,明石商高（甲）－東海大－巨人,明石商高,巨人,1998-10-10,
1800028,https://baseball.yahoo.co.jp/npb/player/1800028/top,戸郷 翔征,トゴウ ショウセイ,読売ジャイアンツ,20,投手,宮崎,2000年4月4日,187cm,84kg,AB,右投げ右打ち,2018年,6位,聖心ウルスラ高（甲）－巨人,聖心ウルスラ高,巨人,2000-4-4,（振）22、24
1100038,https://baseball.yahoo.co.jp/npb/player/1100038/top,今村 信貴,イマムラ ノブタカ,読売ジャイアンツ,26,投手,大阪,1994年3月15日,180cm,90kg,AB,左投げ左打ち,2011年,2位,太成学院大高－巨人,太成学院大高,巨人,1994-3-15,
1700130,https://baseball.yahoo.co.jp/npb/player/1700130/top,高橋 礼,タカハシ レイ,読売ジャイアンツ,28,投手,千葉,1995年11月2日,187cm,90kg,O,右投げ右打ち,2017年,2位,専大松戸高－専修大－ソフトバンク－巨人,専大松戸高,巨人,1995-11-2,（新）19
1961407,https://baseball.yahoo.co.jp/npb/player/1961407/top,グリフィン,グリフィン,読売ジャイアンツ,29,投手,アメリカ,1995年7月27日,190cm,102kg,不明,左投げ左打ち,--,--,ザ・ファースト・アカデミー－ロイヤルズ－ブルージェイズ－巨人,ザ・ファースト・アカデミー,巨人,1995-7-27,
1500127,https://baseball.yahoo.co.jp/npb/player/1500127/top,近藤 大亮,コンドウ タイスケ,読売ジャイアンツ,30,投手,大阪,1991年5月29日,177cm,80kg,O,右投げ右打ち,2015年,2位,浪速高－大阪商業大－パナソニック－オリックス－巨人,浪速高,巨人,1991-5-29,
2103689,https://baseball.yahoo.co.jp/npb/player/2103689/top,赤星 優志,アカホシ ユウジ,読売ジャイアンツ,31,投手,東京,1999年7月2日,175cm,82kg,B,右投げ右打ち,2021年,3位,日大鶴ケ丘高－日本大－巨人,日大鶴ケ丘高,巨人,1999-7-2,
1961194,https://baseball.yahoo.co.jp/npb/player/1961194/top,ケラー,ケラー,読売ジャイアンツ,33,投手,アメリカ,1993年4月28日,193cm,92kg,不明,右投げ右打ち,--,--,サウスイースタンルイジアナ大－マーリンズ－エンゼルス－パイレーツ－3Aインディアナポリス－阪神－巨人,サウスイースタンルイジアナ大,巨人,1993-4-28,
1700077,https://baseball.yahoo.co.jp/npb/player/1700077/top,馬場 皐輔,ババ コウスケ,読売ジャイアンツ,36,投手,宮城,1995年5月18日,180cm,97kg,O,右投げ右打ち,2017年,1位,仙台育英高（甲）－仙台大－阪神－巨人,仙台育英高,巨人,1995-5-18,
1500052,https://baseball.yahoo.co.jp/npb/player/1500052/top,中川 皓太,ナカガワ コウタ,読売ジャイアンツ,41,投手,大阪,1994年2月24日,183cm,86kg,A,左投げ左打ち,2015年,7位,山陽高－東海大－巨人,山陽高,巨人,1994-2-24,
