選手番号,個人情報url,選手名,選手名読み,所属球団,背番号,ポジション,出身地,生年月日,身長,体重,血液型,投打,ドラフト年,ドラフト順位,経歴,出身高校,出身大学,所属チーム,birthday,主な獲得タイトル
700069,https://baseball.yahoo.co.jp/npb/player/700069/top,田中 将大,田中 将大,読売ジャイアンツ,11,投手,兵庫,1988年11月1日,188cm,102kg,A,右投右打,2006年,（高）1巡目,駒大苫小牧高（甲）－楽天－ヤンキース－楽天－巨人,駒大苫小牧高,,巨人,1988-11-1,（率）11、13（防）11、13（勝）11、13（振）12（新）07（優）13（ベ）11、13（沢）11、13（ゴ）11～13
2103697,https://baseball.yahoo.co.jp/npb/player/2103697/top,大勢,大勢,読売ジャイアンツ,15,投手,兵庫,1999年6月29日,183cm,90kg,O,右投右打,2021年,1位,西脇工高－関西国際大－巨人,西脇工高,関西国際大,巨人,1999-6-29,（中）25（新）22
1850035,https://baseball.yahoo.co.jp/npb/player/1850035/top,西舘 勇陽,西舘 勇陽,読売ジャイアンツ,17,投手,岩手,2002年3月11日,185cm,88kg,A,右投右打,2023年,1位,花巻東高（甲）－中央大－巨人,花巻東高,中央大,巨人,2002-3-11,
2000006,https://baseball.yahoo.co.jp/npb/player/2000006/top,山﨑 伊織,山﨑 伊織,読売ジャイアンツ,19,投手,兵庫,1998年10月10日,181cm,81kg,B,右投左打,2020年,2位,明石商高（甲）－東海大－巨人,明石商高,東海大,巨人,1998-10-10,
1800028,https://baseball.yahoo.co.jp/npb/player/1800028/top,戸郷 翔征,戸郷 翔征,読売ジャイアンツ,20,投手,宮崎,2000年4月4日,187cm,85kg,AB,右投右打,2018年,6位,聖心ウルスラ高（甲）－巨人,聖心ウルスラ高,,巨人,2000-4-4,（振）22、24
2118993,https://baseball.yahoo.co.jp/npb/player/2118993/top,竹丸 和幸,竹丸 和幸,読売ジャイアンツ,21,投手,広島,2002年2月26日,179cm,76kg,A,左投左打,2025年,1位,崇徳高－城西大－鷺宮製作所－巨人,崇徳高,城西大,巨人,2002-2-26,
2117509,https://baseball.yahoo.co.jp/npb/player/2117509/top,ウィットリー,ウィットリー,読売ジャイアンツ,26,投手,アメリカ,1997年9月15日,201cm,94kg,不明,右投右打,--,--,アラモハイツ高－アストロズ－レイズ－巨人,アラモハイツ高,,巨人,1997-9-15,
1961886,https://baseball.yahoo.co.jp/npb/player/1961886/top,ハワード,ハワード,読売ジャイアンツ,28,投手,アメリカ,1996年7月28日,190cm,95kg,不明,右投右打,--,--,カリフォルニア・ポリテクニック州立大－フィリーズ－レンジャーズ－ジャイアンツ－ガーディアンズ－3Aサクラメント－楽天－巨人,カリフォルニア・ポリテクニック州立大,,巨人,1996-7-28,
2118291,https://baseball.yahoo.co.jp/npb/player/2118291/top,田和 廉,田和 廉,読売ジャイアンツ,30,投手,京都,2003年5月2日,183cm,87kg,A,右投右打,2025年,2位,早稲田実高－早稲田大－巨人,早稲田実高,早稲田大,巨人,2003-5-2,
2103689,https://baseball.yahoo.co.jp/npb/player/2103689/top,赤星 優志,赤星 優志,読売ジャイアンツ,31,投手,東京,1999年7月2日,175cm,82kg,B,右投右打,2021年,3位,日大鶴ケ丘高－日本大－巨人,日大鶴ケ丘高,日本大,巨人,1999-7-2,
